Water Control Zone,River,Dates,Dissolved Oxygen (%saturation),Dissolved Oxygen (mg/L),pH,Turbidity (NTU),Water Temperature (°C)
Junk Bay,Tseng Lan Shue Stream,4/29/1986,73,6,6.9,4.1,25
Junk Bay,Tseng Lan Shue Stream,5/19/1986,67,5.3,7.1,4.2,26.6
Junk Bay,Tseng Lan Shue Stream,6/18/1986,79,6.2,7.2,5.5,28.4
Junk Bay,Tseng Lan Shue Stream,7/24/1986,65,5.2,7.3,6.5,26.5
Junk Bay,Tseng Lan Shue Stream,8/15/1986,68,5.1,7.3,6.7,30.1
Junk Bay,Tseng Lan Shue Stream,9/15/1986,71,5.6,6.6,3.2,27.3
Junk Bay,Tseng Lan Shue Stream,10/6/1986,86,6.9,6.8,2,26
Junk Bay,Tseng Lan Shue Stream,11/10/1986,74,6.7,7.2,2.3,19.7
Junk Bay,Tseng Lan Shue Stream,12/17/1986,82,7.7,7.7,5,18.6
Junk Bay,Tseng Lan Shue Stream,4/29/1986,9,0.8,6.2,24,23.3
Junk Bay,Tseng Lan Shue Stream,5/19/1986,41,3.1,6.5,12,25.1
Junk Bay,Tseng Lan Shue Stream,6/18/1986,36,2.9,6.5,13,26.6
Junk Bay,Tseng Lan Shue Stream,7/24/1986,41,3.9,6.9,5,25.1
Junk Bay,Tseng Lan Shue Stream,8/15/1986,18,1.4,6.4,11,28.4
Junk Bay,Tseng Lan Shue Stream,9/15/1986,21,1.7,6.1,150,25.5
Junk Bay,Tseng Lan Shue Stream,10/6/1986,19,1.7,6.1,20,23.5
Junk Bay,Tseng Lan Shue Stream,11/10/1986,22,2.1,6.7,43,18.1
Junk Bay,Tseng Lan Shue Stream,12/17/1986,25,2.4,6.6,55,17.9
Junk Bay,Tseng Lan Shue Stream,4/29/1986,14,1.2,7.2,142,25.1
Junk Bay,Tseng Lan Shue Stream,5/19/1986,61,4.8,7.6,21,27.6
Junk Bay,Tseng Lan Shue Stream,6/18/1986,53,4.1,7.6,22,28.6
Junk Bay,Tseng Lan Shue Stream,7/24/1986,63,5,7.7,15,27.6
Junk Bay,Tseng Lan Shue Stream,8/15/1986,71,5.3,7.6,14,29.6
Junk Bay,Tseng Lan Shue Stream,9/15/1986,36,2.8,7,23,28.4
Junk Bay,Tseng Lan Shue Stream,10/6/1986,22,1.8,7.2,30,26.5
Junk Bay,Tseng Lan Shue Stream,11/10/1986,75,6.5,3.4,22,21.8
Junk Bay,Tseng Lan Shue Stream,12/17/1986,56,4.8,7.2,42,22.7
Deep Bay,Kam Tin River,1/17/1986,19,1.7,7.2,98,19.9
Deep Bay,Kam Tin River,2/17/1986,5,0.4,6.9,71,17.8
Deep Bay,Kam Tin River,3/12/1986,5,0.5,6.8,69,20.9
Deep Bay,Kam Tin River,4/10/1986,5,0.5,7,70,28.8
Deep Bay,Kam Tin River,5/1/1986,17,1.3,6.7,54,26.5
Deep Bay,Kam Tin River,6/4/1986,20,1.6,6.9,38,27.7
Deep Bay,Kam Tin River,7/10/1986,8,0.7,6.6,21,28.9
Deep Bay,Kam Tin River,8/12/1986,19,1.5,6.8,25,27.6
Deep Bay,Kam Tin River,9/10/1986,9,0.7,6.7,34,27.8
Deep Bay,Kam Tin River,10/2/1986,3,0.3,6.8,37,26.3
Deep Bay,Kam Tin River,11/4/1986,4,0.3,6.6,48,23.7
Deep Bay,Kam Tin River,12/3/1986,37,3.5,6.8,40,17.5
Deep Bay,Kam Tin River,1/17/1986,6,0.6,7.1,200,21.7
Deep Bay,Kam Tin River,2/17/1986,3,0.3,7,170,17.7
Deep Bay,Kam Tin River,3/12/1986,5,0.5,7,120,21.4
Deep Bay,Kam Tin River,4/10/1986,7,0.6,6.7,48,26.8
Deep Bay,Kam Tin River,5/1/1986,12,1,6.9,160,28
Deep Bay,Kam Tin River,6/4/1986,22,1.7,6.8,36,28.3
Deep Bay,Kam Tin River,7/10/1986,9,0.7,6.8,20,28.5
Deep Bay,Kam Tin River,8/12/1986,45,3.6,6.8,18,26.9
Deep Bay,Kam Tin River,9/10/1986,5,0.4,6.9,35,28.1
Deep Bay,Kam Tin River,10/2/1986,4,0.3,6.9,45,28.4
Deep Bay,Kam Tin River,11/4/1986,4,0.4,7.1,64,23.6
Deep Bay,Kam Tin River,12/3/1986,27,2.6,6.9,50,17.3
Southern,Mui Wo River,3/18/1986,10,0.8,7.3,13,19.5
Southern,Mui Wo River,5/13/1986,84,6.4,7,2.5,26.1
Southern,Mui Wo River,6/30/1986,67,4.9,6.8,7,31
Southern,Mui Wo River,7/15/1986,62,4.7,6.5,5.2,29.2
Southern,Mui Wo River,8/19/1986,69,5.1,7,6.2,31
Southern,Mui Wo River,11/7/1986,59,4.7,6.6,6.5,26.7
Southern,Mui Wo River,12/18/1986,35,3.1,6.9,22,21
Southern,Mui Wo River,3/18/1986,6,0.6,7.1,31,19.7
Southern,Mui Wo River,5/13/1986,84,6.4,6.6,4.1,26.7
Southern,Mui Wo River,6/30/1986,75,5.6,7,4.5,30.1
Southern,Mui Wo River,7/15/1986,96,7.6,6.9,3.8,26.8
Southern,Mui Wo River,8/19/1986,72,5.4,6.7,6,30.4
Southern,Mui Wo River,11/7/1986,8,0.6,6.7,25,25.5
Southern,Mui Wo River,12/18/1986,11,1,7.1,67,21.4
Southern,Mui Wo River,3/18/1986,8,0.8,6.5,55,20
Southern,Mui Wo River,5/13/1986,94,7.1,6.6,1.6,26.2
Southern,Mui Wo River,6/30/1986,68,5.1,6.6,1.7,29.2
Southern,Mui Wo River,7/15/1986,93,7.3,6.6,2,28.2
Southern,Mui Wo River,8/19/1986,82,6.3,6.5,2.5,29
Southern,Mui Wo River,11/7/1986,13,1,6.2,8.1,25.9
Southern,Mui Wo River,12/18/1986,24,2.1,6.4,7,20.4
Port Shelter,Ho Chung River,4/29/1986,14,1,10.1,42,30.3
Port Shelter,Ho Chung River,5/19/1986,64,5,11.7,52,29.5
Port Shelter,Ho Chung River,6/18/1986,84,6.2,10.9,57,31
Port Shelter,Ho Chung River,7/24/1986,57,4,10,20,33.5
Port Shelter,Ho Chung River,8/15/1986,49,3.6,10.4,20,31.6
Port Shelter,Ho Chung River,9/15/1986,24,1.8,6.8,75,32.1
Port Shelter,Ho Chung River,10/6/1986,12,0.9,9,28,27.8
Port Shelter,Ho Chung River,11/10/1986,14,0.9,10.2,14,35.5
Port Shelter,Ho Chung River,12/17/1986,48,3.8,10.5,360,27.3
Port Shelter,Ho Chung River,4/29/1986,52,4.4,6.5,4.5,24
Port Shelter,Ho Chung River,5/19/1986,82,6.8,7.1,3.7,25
Port Shelter,Ho Chung River,6/18/1986,100,7.9,7.8,15,27
Port Shelter,Ho Chung River,7/24/1986,88,7.1,7.6,32,26.6
Port Shelter,Ho Chung River,8/15/1986,93,7.3,7.3,8.2,27.5
Port Shelter,Ho Chung River,9/15/1986,79,6.1,6.3,13,27.6
Port Shelter,Ho Chung River,10/6/1986,45,3.7,6.3,7.8,24.1
Port Shelter,Ho Chung River,11/10/1986,35,3.3,6.6,1,18.8
Port Shelter,Ho Chung River,12/17/1986,39,3.6,6.8,3,19.4
Deep Bay,River Beas,1/13/1986,11,1,6.5,210,19.8
Deep Bay,River Beas,2/20/1986,19,1.9,6.9,160,15.9
Deep Bay,River Beas,3/3/1986,4,0.4,6.7,260,16.2
Deep Bay,River Beas,4/17/1986,6,0.5,6.9,245,25.3
Deep Bay,River Beas,5/15/1986,27,2.1,6.6,53,27.4
Deep Bay,River Beas,6/20/1986,12,0.9,6.8,53,27.8
Deep Bay,River Beas,7/18/1986,26,2,7,23,28.1
Deep Bay,River Beas,8/22/1986,22,1.7,7,37,27.2
Deep Bay,River Beas,9/17/1986,14,1.8,7.2,87.5,26.9
